Superclass,NewCode,crm_cd,
Robo Vehículo,104,330,#REF!
Robo Vehículo,104,331,#REF!
Robo Vehículo,104,420,#REF!
Robo Vehículo,104,510,#REF!
Robo Vehículo,104,522,#REF!
Robo Vehículo,104,624,#REF!
Robo,103,210,#REF!
Robo,103,220,#REF!
Robo,103,310,#REF!
Robo,103,341,#REF!
Robo,103,343,#REF!
Robo,103,345,#REF!
Robo,103,347,#REF!
Robo,103,349,#REF!
Robo,103,350,#REF!
Robo,103,351,#REF!
Robo,103,352,#REF!
Robo,103,440,Robo sencillo - Menor $950
Robo,103,442,#REF!
Robo,103,444,#REF!
Robo,103,445,
Robo,103,446,#REF!
Robo,103,470,#REF!
Robo,103,471,Robo a cajeros
Robo,103,473,#REF!
Robo,103,474,#REF!
Robo,103,480,#REF!
Robo,103,487,#REF!
Robo,103,491,
Robo,103,662,#REF!
Robo,103,668,#REF!
Falta a la ley,102,354,#REF!
Falta a la ley,102,434,#REF!
Falta a la ley,102,437,#REF!
Falta a la ley,102,439,#REF!
Falta a la ley,102,649,#REF!
Falta a la ley,102,651,#REF!
Falta a la ley,102,652,#REF!
Falta a la ley,102,653,#REF!
Falta a la ley,102,654,#REF!
Falta a la ley,102,660,#REF!
Falta a la ley,102,661,#REF!
Falta a la ley,102,664,#REF!
Falta a la ley,102,666,#REF!
Falta a la ley,102,670,#REF!
Falta a la ley,102,755,#REF!
Falta a la ley,102,890,#REF!
Falta a la ley,102,902,#REF!
Falta a la ley,102,942,#REF!
Falta a la ley,102,944,#REF!
Falta a la ley,102,946,#REF!
Falta a la ley,102,948,#REF!
Falta a la ley,102,949,#REF!
Falta a la ley,102,950,#REF!
Falta a la ley,102,951,#REF!
Disturbios a la sociedad,101,250,#REF!
Disturbios a la sociedad,101,251,#REF!
Disturbios a la sociedad,101,320,#REF!
Disturbios a la sociedad,101,353,#REF!
Disturbios a la sociedad,101,410,#REF!
Disturbios a la sociedad,101,421,#REF!
Disturbios a la sociedad,101,432,#REF!
Disturbios a la sociedad,101,433,#REF!
Disturbios a la sociedad,101,436,#REF!
Disturbios a la sociedad,101,438,#REF!
Disturbios a la sociedad,101,441,#REF!
Disturbios a la sociedad,101,443,#REF!
Disturbios a la sociedad,101,450,#REF!
Disturbios a la sociedad,101,451,#REF!
Disturbios a la sociedad,101,452,#REF!
Disturbios a la sociedad,101,453,
Disturbios a la sociedad,101,472,
Disturbios a la sociedad,101,475,#REF!
Disturbios a la sociedad,101,485,#REF!
Disturbios a la sociedad,101,520,#REF!
Disturbios a la sociedad,101,647,#REF!
Disturbios a la sociedad,101,648,#REF!
Disturbios a la sociedad,101,740,#REF!
Disturbios a la sociedad,101,745,#REF!
Disturbios a la sociedad,101,753,#REF!
Disturbios a la sociedad,101,756,#REF!
Disturbios a la sociedad,101,865,#REF!
Disturbios a la sociedad,101,880,#REF!
Disturbios a la sociedad,101,882,#REF!
Disturbios a la sociedad,101,884,#REF!
Disturbios a la sociedad,101,886,#REF!
Disturbios a la sociedad,101,888,#REF!
Disturbios a la sociedad,101,904,#REF!
Disturbios a la sociedad,101,906,#REF!
Disturbios a la sociedad,101,924,#REF!
Disturbios a la sociedad,101,926,
Disturbios a la sociedad,101,930,#REF!
Disturbios a la sociedad,101,931,#REF!
Disturbios a la sociedad,101,954,#REF!
Agresión,100,110,#REF!
Agresión,100,113,#REF!
Agresión,100,121,#REF!
Agresión,100,122,#REF!
Agresión,100,230,#REF!
Agresión,100,231,#REF!
Agresión,100,235,#REF!
Agresión,100,236,#REF!
Agresión,100,237,#REF!
Agresión,100,435,#REF!
Agresión,100,622,#REF!
Agresión,100,623,#REF!
Agresión,100,625,#REF!
Agresión,100,626,#REF!
Agresión,100,627,#REF!
Agresión,100,760,#REF!
Agresión,100,761,#REF!
Agresión,100,762,#REF!
Agresión,100,763,#REF!
Agresión,100,805,#REF!
Agresión,100,806,#REF!
Agresión,100,810,#REF!
Agresión,100,812,#REF!
Agresión,100,813,#REF!
Agresión,100,814,#REF!
Agresión,100,815,#REF!
Agresión,100,820,#REF!
Agresión,100,821,#REF!
Agresión,100,822,#REF!
Agresión,100,830,#REF!
Agresión,100,840,#REF!
Agresión,100,845,#REF!
Agresión,100,850,#REF!
Agresión,100,860,#REF!
Agresión,100,870,#REF!
Agresión,100,900,#REF!
Agresión,100,901,#REF!
Agresión,100,903,#REF!
Agresión,100,910,#REF!
Agresión,100,920,#REF!
Agresión,100,921,#REF!
Agresión,100,922,#REF!
Agresión,100,928,#REF!
Agresión,100,932,#REF!
Agresión,100,933,#REF!
Agresión,100,940,#REF!
Agresión,100,943,#REF!
Agresión,100,956,#REF!